 Date__(UT)__HR:MN, , ,    ObsEcLon,   ObsEcLat,
************************************************
$$SOE
 2026-May-26 00:00, , ,  11.7176555, -2.2403604,
 2026-Jun-05 00:00, , ,  12.5728865, -2.2753429,
 2026-Jun-15 00:00, , ,  13.3057782, -2.3140610,
 2026-Jun-25 00:00, , ,  13.9008943, -2.3560902,
 2026-Jul-05 00:00, , ,  14.3461206, -2.4005821,
 2026-Jul-15 00:00, , ,  14.6309755, -2.4467643,
 2026-Jul-25 00:00, , ,  14.7471031, -2.4935641,
 2026-Aug-04 00:00, , ,  14.6929652, -2.5395450,
 2026-Aug-14 00:00, , ,  14.4707922, -2.5833886,
 2026-Aug-24 00:00, , ,  14.0890713, -2.6233608,
 2026-Sep-03 00:00, , ,  13.5656979, -2.6577341,
 2026-Sep-13 00:00, , ,  12.9243003, -2.6850787,
 2026-Sep-23 00:00, , ,  12.1968103, -2.7038426,
 2026-Oct-03 00:00, , ,  11.4215264, -2.7131259,
 2026-Oct-13 00:00, , ,  10.6389193, -2.7125480,
 2026-Oct-23 00:00, , ,   9.8928787, -2.7020439,
 2026-Nov-02 00:00, , ,   9.2240263, -2.6824788,
 2026-Nov-12 00:00, , ,   8.6674668, -2.6549922,
 2026-Nov-22 00:00, , ,   8.2540978, -2.6210300,
 2026-Dec-02 00:00, , ,   8.0047178, -2.5825146,
 2026-Dec-12 00:00, , ,   7.9319792, -2.5410718,
 2026-Dec-22 00:00, , ,   8.0419793, -2.4984126,
 2027-Jan-01 00:00, , ,   8.3320580, -2.4561709,
 2027-Jan-11 00:00, , ,   8.7950580, -2.4154548,
 2027-Jan-21 00:00, , ,   9.4191420, -2.3774361,
 2027-Jan-31 00:00, , ,  10.1880431, -2.3429571,
 2027-Feb-10 00:00, , ,  11.0853999, -2.3125025,
 2027-Feb-20 00:00, , ,  12.0921865, -2.2866865,
 2027-Mar-02 00:00, , ,  13.1880650, -2.2657376,
 2027-Mar-12 00:00, , ,  14.3545935, -2.2498110,
 2027-Mar-22 00:00, , ,  15.5717780, -2.2391751,
 2027-Apr-01 00:00, , ,  16.8200640, -2.2337453,
 2027-Apr-11 00:00, , ,  18.0813347, -2.2335884,
 2027-Apr-21 00:00, , ,  19.3365255, -2.2387196,
 2027-May-01 00:00, , ,  20.5680169, -2.2489761,
 2027-May-11 00:00, , ,  21.7583625, -2.2643837,
 2027-May-21 00:00, , ,  22.8890487, -2.2847949,
 2027-May-31 00:00, , ,  23.9440665, -2.3099336,
 2027-Jun-10 00:00, , ,  24.9064379, -2.3397238,
 2027-Jun-20 00:00, , ,  25.7586967, -2.3737221,
 2027-Jun-30 00:00, , ,  26.4862988, -2.4114889,
 2027-Jul-10 00:00, , ,  27.0740675, -2.4525828,
 2027-Jul-20 00:00, , ,  27.5085493, -2.4960745,
 2027-Jul-30 00:00, , ,  27.7798967, -2.5411167,
 2027-Aug-09 00:00, , ,  27.8799137, -2.5865865,
 2027-Aug-19 00:00, , ,  27.8065202, -2.6309175,
 2027-Aug-29 00:00, , ,  27.5631357, -2.6726971,
 2027-Sep-08 00:00, , ,  27.1585476, -2.7101219,
 2027-Sep-18 00:00, , ,  26.6120107, -2.7413454,
 2027-Sep-28 00:00, , ,  25.9492634, -2.7649059,
 2027-Oct-08 00:00, , ,  25.2028480, -2.7792559,
 2027-Oct-18 00:00, , ,  24.4136472, -2.7835164,
 2027-Oct-28 00:00, , ,  23.6240471, -2.7774394,
 2027-Nov-07 00:00, , ,  22.8779661, -2.7610945,
 2027-Nov-17 00:00, , ,  22.2174286, -2.7355108,
 2027-Nov-27 00:00, , ,  21.6772544, -2.7020355,
 2027-Dec-07 00:00, , ,  21.2872156, -2.6622443,
 2027-Dec-17 00:00, , ,  21.0674605, -2.6181895,
 2027-Dec-27 00:00, , ,  21.0283303, -2.5716016,
 2028-Jan-06 00:00, , ,  21.1747400, -2.5242013,
 2028-Jan-16 00:00, , ,  21.5027857, -2.4776447,
 2028-Jan-26 00:00, , ,  22.0028702, -2.4330248,
 2028-Feb-05 00:00, , ,  22.6627452, -2.3914445,
 2028-Feb-15 00:00, , ,  23.4655353, -2.3537229,
 2028-Feb-25 00:00, , ,  24.3934894, -2.3202798,
 2028-Mar-06 00:00, , ,  25.4278428, -2.2916526,
 2028-Mar-16 00:00, , ,  26.5481113, -2.2680547,
 2028-Mar-26 00:00, , ,  27.7356969, -2.2495711,
 2028-Apr-05 00:00, , ,  28.9712272, -2.2364178,
 2028-Apr-15 00:00, , ,  30.2347965, -2.2285137,
 2028-Apr-25 00:00, , ,  31.5089400, -2.2258475,
 2028-May-05 00:00, , ,  32.7753142, -2.2284451,
 2028-May-15 00:00, , ,  34.0155845, -2.2361217,
 2028-May-25 00:00, , ,  35.2130313, -2.2488556,
 2028-Jun-04 00:00, , ,  36.3496428, -2.2665159,
 2028-Jun-14 00:00, , ,  37.4086183, -2.2888057,
 2028-Jun-24 00:00, , ,  38.3733864, -2.3156077,
 2028-Jul-04 00:00, , ,  39.2262618, -2.3465182,
 2028-Jul-14 00:00, , ,  39.9522308, -2.3810440,
 2028-Jul-24 00:00, , ,  40.5363330, -2.4187217,
 2028-Aug-03 00:00, , ,  40.9640940, -2.4586573,
 2028-Aug-13 00:00, , ,  41.2257542, -2.4999207,
 2028-Aug-23 00:00, , ,  41.3136058, -2.5413972,
 2028-Sep-02 00:00, , ,  41.2246118, -2.5815237,
 2028-Sep-12 00:00, , ,  40.9631347, -2.6188062,
 2028-Sep-22 00:00, , ,  40.5391840, -2.6515064,
 2028-Oct-02 00:00, , ,  39.9723479, -2.6777657,
 2028-Oct-12 00:00, , ,  39.2904831, -2.6961241,
 2028-Oct-22 00:00, , ,  38.5275937, -2.7051913,
 2028-Nov-01 00:00, , ,  37.7261498, -2.7041193,
 2028-Nov-11 00:00, , ,  36.9306869, -2.6927976,
 2028-Nov-21 00:00, , ,  36.1851174, -2.6714835,
 2028-Dec-01 00:00, , ,  35.5323696, -2.6412472,
 2028-Dec-11 00:00, , ,  35.0075711, -2.6035940,
 2028-Dec-21 00:00, , ,  34.6385331, -2.5601468,
 2028-Dec-31 00:00, , ,  34.4447793, -2.5129139,
 2029-Jan-10 00:00, , ,  34.4353327, -2.4636832,
 2029-Jan-20 00:00, , ,  34.6130249, -2.4140501,
 2029-Jan-30 00:00, , ,  34.9730863, -2.3655765,
 2029-Feb-09 00:00, , ,  35.5042549, -2.3193353,
 2029-Feb-19 00:00, , ,  36.1935433, -2.2762483,
 2029-Mar-01 00:00, , ,  37.0239550, -2.2370775,
 2029-Mar-11 00:00, , ,  37.9764455, -2.2021930,
 2029-Mar-21 00:00, , ,  39.0326306, -2.1719871,
 2029-Mar-31 00:00, , ,  40.1725337, -2.1466776,
 2029-Apr-10 00:00, , ,  41.3768691, -2.1262810,
 2029-Apr-20 00:00, , ,  42.6269904, -2.1109342,
 2029-Apr-30 00:00, , ,  43.9034399, -2.1005984,
 2029-May-10 00:00, , ,  45.1886129, -2.0951664,
 2029-May-20 00:00, , ,  46.4649330, -2.0946684,
 2029-May-30 00:00, , ,  47.7137622, -2.0989455,
 2029-Jun-09 00:00, , ,  48.9186078, -2.1078910,
 2029-Jun-19 00:00, , ,  50.0621449, -2.1214191,
 2029-Jun-29 00:00, , ,  51.1264881, -2.1392382,
 2029-Jul-09 00:00, , ,  52.0953190, -2.1611683,
 2029-Jul-19 00:00, , ,  52.9512931, -2.1868933,
 2029-Jul-29 00:00, , ,  53.6781103, -2.2158855,
 2029-Aug-08 00:00, , ,  54.2609761, -2.2476746,
 2029-Aug-18 00:00, , ,  54.6851266, -2.2814783,
 2029-Aug-28 00:00, , ,  54.9400629, -2.3163156,
 2029-Sep-07 00:00, , ,  55.0186327, -2.3511502,
 2029-Sep-17 00:00, , ,  54.9171215, -2.3845366,
 2029-Sep-27 00:00, , ,  54.6404823, -2.4149692,
 2029-Oct-07 00:00, , ,  54.2002521, -2.4408898,
 2029-Oct-17 00:00, , ,  53.6159461, -2.4605528,
 2029-Oct-27 00:00, , ,  52.9174650, -2.4725839,
 2029-Nov-06 00:00, , ,  52.1408519, -2.4758414,
 2029-Nov-16 00:00, , ,  51.3292308, -2.4695511,
 2029-Nov-26 00:00, , ,  50.5291574, -2.4537482,
 2029-Dec-06 00:00, , ,  49.7850192, -2.4288571,
 2029-Dec-16 00:00, , ,  49.1397766, -2.3958876,
 2029-Dec-26 00:00, , ,  48.6289197, -2.3564066,
 2030-Jan-05 00:00, , ,  48.2782887, -2.3119764,
 2030-Jan-15 00:00, , ,  48.1066591, -2.2644075,
 2030-Jan-25 00:00, , ,  48.1222725, -2.2154330,
 2030-Feb-04 00:00, , ,  48.3254827, -2.1664282,
 2030-Feb-14 00:00, , ,  48.7110300, -2.1187653,
 2030-Feb-24 00:00, , ,  49.2668829, -2.0734334,
 2030-Mar-06 00:00, , ,  49.9788238, -2.0311296,
 2030-Mar-16 00:00, , ,  50.8300769, -1.9925274,
 2030-Mar-26 00:00, , ,  51.8009684, -1.9579285,
 2030-Apr-05 00:00, , ,  52.8732313, -1.9275723,
 2030-Apr-15 00:00, , ,  54.0276403, -1.9016743,
 2030-Apr-25 00:00, , ,  55.2442009, -1.8801861,
 2030-May-05 00:00, , ,  56.5050394, -1.8631750,
 2030-May-15 00:00, , ,  57.7914613, -1.8506361,
 2030-May-25 00:00, , ,  59.0852425, -1.8423833,
 2030-Jun-04 00:00, , ,  60.3695404, -1.8384547,
 2030-Jun-14 00:00, , ,  61.6259376, -1.8387152,
 2030-Jun-24 00:00, , ,  62.8376138, -1.8429878,
 2030-Jul-04 00:00, , ,  63.9877174, -1.8512343,
 2030-Jul-14 00:00, , ,  65.0577189, -1.8631767,
 2030-Jul-24 00:00, , ,  66.0311744, -1.8785956,
 2030-Aug-03 00:00, , ,  66.8910607, -1.8972577,
 2030-Aug-13 00:00, , ,  67.6197511, -1.9186447,
 2030-Aug-23 00:00, , ,  68.2024479, -1.9423193,
 2030-Sep-02 00:00, , ,  68.6245385, -1.9676227,
 2030-Sep-12 00:00, , ,  68.8743557, -1.9936207,
 2030-Sep-22 00:00, , ,  68.9451323, -2.0194225,
 2030-Oct-02 00:00, , ,  68.8332649, -2.0437664,
 2030-Oct-12 00:00, , ,  68.5437208, -2.0652831,
 2030-Oct-22 00:00, , ,  68.0894808, -2.0826798,
 2030-Nov-01 00:00, , ,  67.4904292, -2.0944426,
 2030-Nov-11 00:00, , ,  66.7779919, -2.0994101,
 2030-Nov-21 00:00, , ,  65.9904042, -2.0967234,
 2030-Dec-01 00:00, , ,  65.1710067, -2.0857576,
 2030-Dec-11 00:00, , ,  64.3679544, -2.0666806,
 2030-Dec-21 00:00, , ,  63.6264990, -2.0399974,
 2030-Dec-31 00:00, , ,  62.9887847, -2.0066144,
 2031-Jan-10 00:00, , ,  62.4903959, -1.9680048,
 2031-Jan-20 00:00, , ,  62.1558516, -1.9255366,
 2031-Jan-30 00:00, , ,  62.0026641, -1.8807301,
 2031-Feb-09 00:00, , ,  62.0384539, -1.8350972,
 2031-Feb-19 00:00, , ,  62.2615651, -1.7897317,
 2031-Mar-01 00:00, , ,  62.6662290, -1.7457505,
 2031-Mar-11 00:00, , ,  63.2402516, -1.7039583,
 2031-Mar-21 00:00, , ,  63.9681035, -1.6648461,
 2031-Mar-31 00:00, , ,  64.8333536, -1.6289597,
 2031-Apr-10 00:00, , ,  65.8165120, -1.5964920,
 2031-Apr-20 00:00, , ,  66.8990175, -1.5675761,
 2031-Apr-30 00:00, , ,  68.0623664, -1.5423914,
 2031-May-10 00:00, , ,  69.2865280, -1.5208302,
 2031-May-20 00:00, , ,  70.5539333, -1.5029209,
 2031-May-30 00:00, , ,  71.8467248, -1.4886557,
 2031-Jun-09 00:00, , ,  73.1461521, -1.4778163,
 2031-Jun-19 00:00, , ,  74.4357759, -1.4704399,
 2031-Jun-29 00:00, , ,  75.6978324, -1.4663891,
 2031-Jul-09 00:00, , ,  76.9147090, -1.4654759,
 2031-Jul-19 00:00, , ,  78.0697834, -1.4676797,
 2031-Jul-29 00:00, , ,  79.1445712, -1.4727325,
 2031-Aug-08 00:00, , ,  80.1219038, -1.4804357,
 2031-Aug-18 00:00, , ,  80.9848669, -1.4906010,
 2031-Aug-28 00:00, , ,  81.7151279, -1.5027661,
 2031-Sep-07 00:00, , ,  82.2973691, -1.5165816,
 2031-Sep-17 00:00, , ,  82.7173174, -1.5315004,
 2031-Sep-27 00:00, , ,  82.9622724, -1.5467496,
 2031-Oct-07 00:00, , ,  83.0254915, -1.5616426,
 2031-Oct-17 00:00, , ,  82.9042505, -1.5751533,
 2031-Oct-27 00:00, , ,  82.6031278, -1.5862163,
 2031-Nov-06 00:00, , ,  82.1362806, -1.5938666,
 2031-Nov-16 00:00, , ,  81.5248747, -1.5969301,
 2031-Nov-26 00:00, , ,  80.8010504, -1.5945887,
 2031-Dec-06 00:00, , ,  80.0050359, -1.5862689,
 2031-Dec-16 00:00, , ,  79.1806942, -1.5715681,
 2031-Dec-26 00:00, , ,  78.3767664, -1.5507527,
$$EOE
*******************************************************************************
Column meaning:
 
TIME

  Times PRIOR to 1962 are UT1, a mean-solar time closely related to the
prior but now-deprecated GMT. Times AFTER 1962 are in UTC, the current
civil or "wall-clock" time-scale. UTC is kept within 0.9 seconds of UT1
using integer leap-seconds for 1972 and later years.

  Conversion from the internal Barycentric Dynamical Time (TDB) of solar
system dynamics to the non-uniform civil UT time-scale requested for output
has not been determined for UTC times after the next July or January 1st.
Therefore, the last known leap-second is used as a constant over future
intervals.

  Time tags refer to the UT time-scale conversion from TDB on Earth
regardless of observer location within the solar system, although clock
rates may differ due to the local gravity field and no analog to "UT"
may be defined for that location.

  Any 'b' symbol in the 1st-column denotes a B.C. date. First-column blank
(" ") denotes an A.D. date.
 
CALENDAR SYSTEM

  Mixed calendar mode was active such that calendar dates after AD 1582-Oct-15
(if any) are in the modern Gregorian system. Dates prior to 1582-Oct-5 (if any)
are in the Julian calendar system, which is automatically extended for dates
prior to its adoption on 45-Jan-1 BC.  The Julian calendar is useful for
matching historical dates. The Gregorian calendar more accurately corresponds
to the Earth's orbital motion and seasons. A "Gregorian-only" calendar mode is
available if such physical events are the primary interest.

  NOTE: "n.a." in output means quantity "not available" at the print-time.
 
 'ObsEcLon,   ObsEcLat,' =
   Observer-centered IAU76/80 ecliptic-of-date longitude and latitude of the
target centers' apparent position, with light-time, gravitational deflection of
light, and stellar aberrations.  Units: DEGREES

Computations by ...

    Solar System Dynamics Group, Horizons On-Line Ephemeris System
    4800 Oak Grove Drive, Jet Propulsion Laboratory
    Pasadena, CA  91109   USA

    General site: https://ssd.jpl.nasa.gov/
    Mailing list: https://ssd.jpl.nasa.gov/email_list.html
    System news : https://ssd.jpl.nasa.gov/horizons/news.html
    User Guide  : https://ssd.jpl.nasa.gov/horizons/manual.html
    Connect     : browser        https://ssd.jpl.nasa.gov/horizons/app.html#/x
                  API            https://ssd-api.jpl.nasa.gov/doc/horizons.html
                  command-line   telnet ssd.jpl.nasa.gov 6775
                  e-mail/batch   https://ssd.jpl.nasa.gov/ftp/ssd/horizons_batch.txt
                  scripts        https://ssd.jpl.nasa.gov/ftp/ssd/SCRIPTS
    Author      : Jon.D.Giorgini@jpl.nasa.gov

*******************************************************************************
